date;name;open;click;browse;sale;unsubscribe;spamReport;revenue;discount;saleCount;newCustomers;totalCustomers;currency;cost
2018-05-18;;101;14;85;4;0;0;8953.5;0;4;3;3140;SEK;0
2018-05-19;;47;12;46;3;0;0;9744;0;3;3;3143;SEK;0
2018-05-20;Reva;943;71;213;4;2;0;6596;0;4;3;3146;SEK;0
2018-05-21;;239;11;77;4;1;0;6296;0;4;2;3148;SEK;0
2018-05-22;;69;3;28;2;1;0;3698;0;2;1;3149;SEK;0
2018-05-23;Privacy;766;66;8;7;8;0;12103;0;7;4;3153;SEK;0
2018-05-24;;316;28;0;8;6;0;14511.25;0;8;9;3162;SEK;0
2018-05-25;;40;6;0;5;2;0;9344;0;5;3;3165;SEK;0
2018-05-26;;23;0;0;8;0;0;16190;0;8;7;3172;SEK;0
2018-05-27;new website;837;148;0;9;4;0;27784;0;9;8;3180;SEK;0
2018-05-28;;252;27;0;8;2;0;19459.1;0;8;6;3186;SEK;0
2018-05-29;;83;8;0;8;0;0;18999.3;0;8;16;3202;SEK;0
2018-05-30;Restock;730;159;2;13;4;0;30481;0;13;18;3220;SEK;0
2018-05-31;;316;71;0;2;3;0;6146;0;2;3;3223;SEK;0
2018-06-01;;59;7;0;4;0;0;10583.7;0;4;3;3226;SEK;0
2018-06-02;;53;3;0;3;0;0;6346;0;3;6;3232;SEK;0
2018-06-03;The ultimate look - New in;802;183;0;7;3;0;15478.6;0;7;2;3234;SEK;0
2018-06-04;;436;61;0;6;0;0;17499.5;0;6;6;3240;SEK;0
2018-06-05;;62;7;0;8;0;0;24934.5;0;8;8;3248;SEK;0
2018-06-06;THINK PINK;830;93;0;3;2;1;8604;0;3;5;3253;SEK;0
2018-06-07;;464;41;0;4;2;0;6296;0;4;12;3265;SEK;0
2018-06-08;;73;10;0;5;1;0;14182.2;0;5;11;3276;SEK;0
2018-06-09;;36;2;0;3;0;0;6835;0;3;8;3284;SEK;0
2018-06-10;Summer Nights;888;164;0;3;2;0;4846.5;0;3;7;3291;SEK;0
2018-06-11;;305;54;0;12;1;1;25224.9;0;12;12;3303;SEK;0
2018-06-12;;75;5;0;5;0;0;16939.9;0;5;7;3310;SEK;0
2018-06-13;Work wardrobe;837;88;0;10;4;0;20532.85;0;10;11;3321;SEK;0
2018-06-14;;400;52;0;5;3;0;7895;0;5;11;3332;SEK;0
2018-06-15;;76;5;0;2;0;0;3867.65;0;2;3;3335;SEK;0
2018-06-16;;41;3;0;6;0;0;13292;0;6;13;3348;SEK;0
2018-06-17;The Dress;1011;181;0;4;2;0;5527.1;0;4;7;3355;SEK;0
2018-06-18;;254;27;0;6;3;0;13636.15;0;6;5;3360;SEK;0
2018-06-19;;107;7;0;2;0;0;2898;0;2;3;3363;SEK;0
2018-06-20;Sunrise to sundown;796;79;0;1;3;0;1749;0;1;3;3366;SEK;0
2018-06-21;;247;20;0;3;1;0;7995;0;3;1;3367;SEK;0
2018-06-22;;26;3;0;2;0;0;1900;0;2;1;3368;SEK;0
2018-06-23;;44;2;0;1;0;0;3648;0;1;2;3370;SEK;0
2018-06-24;SALE;886;71;0;2;1;0;3537.2;0;2;1;3371;SEK;0
2018-06-25;;671;19;0;8;0;0;19628.6;0;8;9;3380;SEK;0
2018-06-26;sale webb;1248;418;0;33;4;0;69179.45;0;33;15;3395;SEK;0
2018-06-27;BLUE SALE;882;186;0;10;1;0;20955.8;0;10;11;3406;SEK;0
2018-06-28;;356;85;0;7;2;0;13660;0;7;5;3411;SEK;0
2018-06-29;;104;10;0;12;0;0;20185.15;0;12;13;3424;SEK;0
2018-06-30;;48;6;0;5;0;0;7695;0;5;4;3428;SEK;0
2018-07-01;Cargo sale;926;130;0;5;3;0;9313;0;5;7;3435;SEK;0
2018-07-02;;254;38;0;2;0;0;2598;0;2;2;3437;SEK;0
2018-07-03;;72;5;0;4;0;0;8134;0;4;6;3443;SEK;0
2018-07-04;Founders Favorite;607;68;0;7;3;0;16627;0;7;9;3452;SEK;0
